GOOG option chain data from  05/08/15 at 03:36 PM EST
Strike,Ask,Last,Mark Chg,Bid Size,Ask Size,Delta,Imp Vol,Imp Vol Chg,Open Interest,Volume,Bid
May15 CALLS (8 days)
605,0.05,0.85,0.00,0,54,0.0039,29.72%,-1.80%,0,0,0.00
607.5,0.05,0.00,0.00,0,54,0.0038,30.66%,-1.75%,0,0,0.00
610,0.05,0.70,0.00,0,55,0.0037,31.63%,-1.66%,0,0,0.00
612.5,0.05,0.00,0.00,0,55,0.0036,32.56%,-1.59%,0,0,0.00
615,0.05,0.50,0.00,0,55,0.0035,33.50%,-1.53%,0,0,0.00
620,0.05,0.45,0.00,0,58,0.0033,35.34%,-1.41%,0,0,0.00
625,0.05,0.30,0.00,0,58,0.0031,37.16%,-1.28%,0,0,0.00
630,0.05,0.24,0.00,0,42,0.0030,38.97%,-1.16%,0,0,0.00
635,0.05,0.20,0.00,0,39,0.0028,40.75%,-1.03%,0,0,0.00
640,0.05,0.30,0.00,0,41,0.0027,42.50%,-0.91%,0,0,0.00
645,0.05,0.27,0.00,0,41,0.0026,44.22%,-0.81%,0,0,0.00
650,0.05,0.02,0.00,0,41,0.0025,45.94%,-0.69%,1,0,0.00
655,0.05,0.25,0.00,0,42,0.0024,47.63%,-0.56%,0,0,0.00
660,0.05,0.05,0.00,0,41,0.0024,49.31%,-0.44%,0,0,0.00
665,0.05,0.00,0.00,0,41,0.0023,50.97%,-0.34%,0,0,0.00
670,0.05,0.05,0.00,0,38,0.0022,52.59%,-0.22%,0,0,0.00
675,0.05,0.00,0.00,0,39,0.0021,54.22%,-0.12%,0,0,0.00
680,0.05,0.15,0.00,0,38,0.0021,55.81%,-0.03%,0,0,0.00
685,0.05,0.15,0.00,0,38,0.0020,57.41%,+0.09%,0,0,0.00
690,0.05,0.00,0.00,0,39,0.0020,58.97%,+0.19%,0,0,0.00
695,0.25,0.00,+0.10,0,31,0.0073,71.22%, 10.97%,0,0,0.00
700,0.25,0.00,+0.10,0,31,0.0071,72.97%, 11.28%,0,0,0.00
705,0.25,0.00,+0.10,0,45,0.0070,74.70%, 11.58%,0,0,0.00
710,0.20,0.00,+0.075,0,33,0.0057,74.56%, 10.06%,0,0,0.00
715,0.25,0.00,+0.10,0,45,0.0067,78.13%, 12.19%,0,0,0.00
720,0.25,0.00,+0.10,0,45,0.0066,79.81%, 12.50%,0,0,0.00
725,0.25,0.00,+0.10,0,45,0.0065,81.48%, 12.80%,0,0,0.00
730,0.20,0.00,+0.075,0,38,0.0053,81.14%, 11.11%,0,0,0.00
735,0.20,0.00,-0.025,0,54,0.0052,82.75%,-0.67%,0,0,0.00
740,0.25,0.00,+0.025,0,45,0.0061,86.39%, 3.47%,0,0,0.00
745,0.25,0.00,0.00,0,45,0.0060,87.99%,+1.55%,0,0,0.00
750,0.25,0.00,0.00,0,45,0.0059,89.58%,+1.66%,0,0,0.00
755,0.25,0.00,0.00,0,45,0.0058,91.16%,+1.77%,0,0,0.00
760,0.25,0.00,0.00,0,45,0.0057,92.72%,+1.86%,0,0,0.00
765,0.25,0.00,+0.025,0,45,0.0057,94.28%, 4.13%,0,0,0.00
770,0.25,0.00,0.00,0,45,0.0056,95.81%,+2.08%,0,0,0.00
775,0.25,0.00,0.00,0,36,0.0055,97.33%,+2.17%,0,0,0.00
780,0.25,0.00,0.00,0,45,0.0054,98.84%,+2.28%,0,0,0.00
785,0.25,0.00,0.00,0,45,0.0054,100.34%,+2.38%,0,0,0.00
790,0.25,0.00,0.00,0,36,0.0053,101.83%,+2.47%,0,0,0.00
795,0.25,0.00,0.00,0,45,0.0052,103.30%,+2.56%,0,0,0.00
800,0.25,0.00,0.00,0,45,0.0052,104.75%,+2.66%,0,0,0.00
820,0.25,0.00,0.00,0,36,0.0049,110.47%,+3.02%,0,0,0.00
May15 PUTS (8 days)
300,0.25,0.00,0.00,0,42,-0.0032,157.69%,+13.31%,0,0,0.00
320,0.25,0.00,0.00,0,39,-0.0035,141.61%,+12.36%,0,0,0.00
340,0.25,0.00,+0.025,0,35,-0.0040,126.44%, 14.22%,0,0,0.00
360,0.25,0.00,+0.10,0,35,-0.0045,112.06%, 25.63%,0,0,0.00
380,0.25,0.00,+0.10,0,35,-0.0050,98.36%, 23.17%,0,0,0.00
400,0.15,0.00,+0.05,0,28,-0.0038,80.53%, 16.06%,0,0,0.00
420,0.10,0.06,+0.025,0,30,-0.0032,65.64%, 11.48%,0,0,0.00
440,0.05,0.04,-0.025,0,53,-0.0022,50.75%,+3.31%,0,0,0.00
450,0.05,0.00,-0.025,0,53,-0.0024,45.69%,+3.41%,0,0,0.00
452.5,0.05,0.00,-0.025,0,51,-0.0025,44.34%,+3.34%,0,0,0.00
455,0.05,0.00,-0.025,0,31,-0.0026,43.06%,+3.33%,0,0,0.00
457.5,0.05,0.00,-0.025,0,49,-0.0027,41.88%,+3.42%,0,0,0.00
460,0.05,0.07,-0.025,0,32,-0.0028,40.63%,+3.44%,1,0,0.00
462.5,0.05,0.00,-0.025,0,32,-0.0028,39.34%,+3.42%,0,0,0.00
465,0.05,0.05,-0.025,0,32,-0.0029,38.09%,+3.44%,27,0,0.00
467.5,0.05,0.00,-0.025,0,32,-0.0030,36.78%,+3.38%,0,0,0.00
470,0.05,0.10,-0.05,0,32,-0.0031,35.61%,+1.88%,0,0,0.00
472.5,0.05,0.00,-0.025,0,38,-0.0033,34.38%,+3.48%,0,0,0.00
475,0.05,0.10,-0.05,0,35,-0.0034,33.09%,+1.97%,25,0,0.00
477.5,0.05,0.10,-0.05,0,34,-0.0035,31.89%,+2.06%,5,0,0.00
480,0.05,0.09,-0.075,0,34,-0.0037,30.66%,+1.04%,205,0,0.00
482.5,0.05,0.00,-0.075,0,34,-0.0038,29.42%,+1.14%,0,0,0.00
485,0.05,0.20,-0.075,0,32,-0.0040,28.20%,+1.27%,170,0,0.00
487.5,0.05,0.00,-0.075,0,33,-0.0042,26.97%,+1.37%,0,0,0.00
490,0.05,0.02,-0.125,0,28,-0.0044,25.73%,-0.01%,726,30,0.00
492.5,0.10,0.15,-0.15,0,48,-0.0080,26.52%,+1.04%,50,0,0.00
495,0.10,0.40,-0.175,0,46,-0.0084,25.21%,+0.71%,14,0,0.00
497.5,0.10,0.25,-0.225,0,43,-0.0089,23.83%,-0.03%,9,0,0.00
500,0.10,0.07,-0.275,17,40,-0.0127,23.80%,+0.42%,696,92,0.05
502.5,0.15,0.15,-0.35,41,81,-0.0167,23.36%,+0.40%,60,2,0.05
505,0.15,0.10,-0.45,75,51,-0.0178,21.95%,-0.33%,499,78,0.05
507.5,0.20,0.15,-0.55,43,126,-0.0254,21.86%,+0.04%,82,26,0.10
510,0.20,0.16,-0.75,18,16,-0.0303,20.90%,-0.69%,230,63,0.15
512.5,0.25,0.23,-0.95,12,19,-0.0388,20.26%,-0.89%,122,27,0.20
515,0.35,0.32,-1.20,67,62,-0.0508,19.65%,-1.13%,166,36,0.25
517.5,0.45,0.43,-1.525,48,93,-0.0659,19.23%,-1.28%,119,5,0.35
520,0.60,0.57,-1.925,157,189,-0.0847,18.65%,-1.60%,413,341,0.45
522.5,0.75,0.85,-2.375,30,34,-0.1102,18.02%,-1.92%,72,66,0.65
525,1.00,1.00,-2.925,168,27,-0.1403,17.58%,-2.13%,410,64,0.85
527.5,1.35,1.32,-3.475,87,67,-0.1821,17.30%,-2.14%,94,100,1.20
530,1.75,1.75,-4.125,142,6,-0.2293,16.76%,-2.39%,233,389,1.60
532.5,2.35,2.35,-4.825,37,9,-0.2892,16.55%,-2.60%,93,130,2.20
535,3.10,3.06,-5.50,74,9,-0.3560,16.23%,-2.73%,"1,791",176,2.90
537.5,4.10,3.95,-6.00,2,59,-0.4312,16.23%,-2.33%,80,416,3.90
540,5.20,5.16,-6.75,108,5,-0.5123,15.59%,-3.09%,183,227,4.90
542.5,6.60,6.59,-7.20,55,13,-0.5878,15.75%,-2.72%,88,21,6.30
545,8.30,8.17,-7.70,64,126,-0.6706,15.40%,-3.43%,149,41,7.80
547.5,10.50,10.00,-7.40,41,241,-0.7205,16.64%,+0.28%,22,3,9.60
550,12.80,11.60,-7.50,75,238,-0.7684,17.47%,+1.70%,105,31,11.50
552.5,14.90,25.40,-8.05,173,138,-0.8449,15.50%,+1.32%,10,0,12.70
555,17.10,23.79,-8.25,180,136,-0.8797,15.86%,+0.80%,35,0,15.00
557.5,19.60,0.00,-8.15,19,19,-0.9021,16.54%,-,0,0,17.20
560,22.00,28.51,-8.50,69,73,-0.9125,17.85%,-0.97%,"4,043",0,19.70
562.5,24.40,0.00,-8.40,22,22,-0.9467,16.96%,-,0,0,21.80
565,26.80,26.80,-8.40,26,29,-0.9555,17.98%,-,29,2,24.30
567.5,29.90,0.00,-8.40,19,27,-0.9263,22.40%,-,0,0,26.70
570,32.10,29.60,-8.50,28,19,-0.9375,22.98%,-,18,0,29.30
572.5,34.90,0.00,-8.45,19,28,-0.9322,25.15%,-,0,0,31.60
575,37.40,27.20,-8.40,13,23,-0.9332,26.78%,-,1,0,34.10
577.5,39.90,0.00,-8.45,1,15,-0.9400,27.85%,-,0,0,36.50
580,42.40,27.60,-8.30,13,23,-0.9345,30.02%,-,2,0,39.10
582.5,44.90,0.00,-8.40,1,15,-0.9409,31.08%,-,0,0,41.50
585,47.40,22.57,-8.50,1,15,-0.9468,32.12%,-,0,0,43.90
587.5,49.90,0.00,-8.40,1,15,-0.9469,33.73%,-,0,0,46.40
590,52.40,27.00,-8.50,1,15,-0.9470,35.35%,-,0,0,48.90
592.5,54.90,0.00,-8.45,1,15,-0.9470,36.96%,-,0,0,51.40
595,57.40,68.00,-8.45,1,15,-0.9469,38.57%,-,0,0,53.90
597.5,59.90,0.00,-8.45,1,15,-0.9468,40.19%,-,0,0,56.40
600,62.40,59.61,-8.35,13,23,-0.9359,42.92%,-,2,0,59.10
602.5,64.90,0.00,-8.55,5,15,-0.9518,42.85%,-,0,0,61.30
605,67.40,48.40,-8.55,15,15,-0.9516,44.46%,-,0,0,63.80
607.5,69.80,0.00,-8.65,15,15,-0.9616,44.94%,-,0,0,66.20
610,72.30,48.80,-8.65,6,15,-0.9613,46.56%,-,0,0,68.70
612.5,74.80,0.00,-8.65,15,15,-0.9610,48.18%,-,0,0,71.20
615,77.30,56.10,-8.60,1,15,-0.9557,50.37%,-,0,0,73.80
620,82.30,54.50,-8.65,10,10,-0.9601,53.05%,-,0,0,78.70
625,87.30,58.88,-8.40,1,10,-0.9594,56.30%,-,0,0,83.70
630,92.30,65.60,-8.65,1,10,-0.9588,59.55%,-,0,0,88.70
635,97.30,0.00,-8.65,1,10,-0.9581,62.79%,-,0,0,93.70
640,102.30,0.00,-8.65,1,10,-0.9574,66.04%,-,0,0,98.70
645,107.30,0.00,-8.65,1,10,-0.9567,69.29%,-,0,0,103.70
650,112.30,80.50,-8.65,10,10,-0.9560,72.54%,-,0,0,108.70
655,117.30,0.00,-8.60,5,10,-0.9504,76.30%,-,0,0,113.80
660,122.30,0.00,-8.65,10,10,-0.9545,79.04%,-,0,0,118.70
665,127.30,0.00,-8.65,10,10,-0.9538,82.29%,-,0,0,123.70
670,132.30,0.00,-8.65,10,10,-0.9531,85.54%,-,0,0,128.70
675,137.30,0.00,-8.60,5,10,-0.9474,89.27%,-,0,0,133.80
680,142.30,0.00,-8.60,5,10,-0.9467,92.52%,-,0,0,138.80
685,147.30,0.00,-8.65,10,10,-0.9508,95.29%,-,0,0,143.70
690,152.30,0.00,-8.65,10,10,-0.9500,98.53%,-,0,0,148.70
695,157.30,0.00,-8.65,10,10,-0.9492,101.78%,-,0,0,153.70
700,162.30,0.00,-8.65,10,10,-0.9484,105.03%,-,0,0,158.70
705,167.30,0.00,-8.60,5,10,-0.9428,108.74%,-,0,0,163.80
